preset,presetLabel,seed,categoryId,layoutId,compositionZone,botanicalFamily,clusterType,colorStory,nodeCount,absoluteCommercialQuality,heroVisibility,patternBeautyScore,illustrationQuality,visualRichness,botanicalRealism,luxuryFeeling,editorialFeeling,premiumFeeling,fabricFeeling,wallpaperFeeling,giftWrapFeeling,visualStory,svgFile,pngFile
luxuryWallpaper,Luxury Wallpaper,p-1,damask,densePremium,diagonal,n/a,n/a,midnight-botanical,5904,86,85.65,81,,,,83,50,85,50,100,40,62,svg/luxuryWallpaper_p-1.svg,png/luxuryWallpaper_p-1.png
luxuryWallpaper,Luxury Wallpaper,p-2,damask,densePremium,diagonal,n/a,n/a,midnight-botanical,5912,85,86.35,81,,,,81,52,83,50,100,40,63,svg/luxuryWallpaper_p-2.svg,png/luxuryWallpaper_p-2.png
luxuryWallpaper,Luxury Wallpaper,p-3,damask,halfDrop,diagonal,n/a,n/a,jewel-tones,5947,49,86.7,82,,,,85,71,87,50,100,40,77,svg/luxuryWallpaper_p-3.svg,png/luxuryWallpaper_p-3.png
luxuryWallpaper,Luxury Wallpaper,p-4,damask,densePremium,wave,n/a,n/a,jewel-tones,5897,85,86.7,82,,,,84,51,86,50,100,40,64,svg/luxuryWallpaper_p-4.svg,png/luxuryWallpaper_p-4.png
luxuryWallpaper,Luxury Wallpaper,p-5,damask,halfDrop,wave,n/a,n/a,midnight-botanical,5663,64,86.7,84,,,,85,71,87,50,100,40,77,svg/luxuryWallpaper_p-5.svg,png/luxuryWallpaper_p-5.png
premiumTextile,Premium Textile,p-1,paisley,brick,wave,n/a,n/a,sage-terracotta,2285,45,72.4,82,,,,79,97,81,65,50,60,82,svg/premiumTextile_p-1.svg,png/premiumTextile_p-1.png
premiumTextile,Premium Textile,p-2,paisley,halfDrop,wave,n/a,n/a,english-garden,2392,47,93.45,84,,,,99,97,94,65,50,60,87,svg/premiumTextile_p-2.svg,png/premiumTextile_p-2.png
premiumTextile,Premium Textile,p-3,paisley,halfDrop,diagonal,n/a,n/a,autumn-harvest,5766,43,74.55,81,,,,78,87,77,65,50,60,80,svg/premiumTextile_p-3.svg,png/premiumTextile_p-3.png
premiumTextile,Premium Textile,p-4,paisley,brick,offset,n/a,n/a,english-garden,5983,44,79.7,82,,,,82,92,79,65,50,60,84,svg/premiumTextile_p-4.svg,png/premiumTextile_p-4.png
premiumTextile,Premium Textile,p-5,paisley,brick,diagonal,n/a,n/a,english-garden,6044,44,78.1,82,,,,83,93,80,65,50,60,83,svg/premiumTextile_p-5.svg,png/premiumTextile_p-5.png
kidsPlayful,Kids Playful,p-1,cute,toss,zFlow,n/a,wildCluster,vibrant-pop,6008,85,88.8,81,,,,87,50,83,50,50,75,59,svg/kidsPlayful_p-1.svg,png/kidsPlayful_p-1.png
kidsPlayful,Kids Playful,p-2,cute,scatter,zFlow,n/a,wildCluster,vibrant-pop,5914,86,94.05,82,,,,91,48,85,50,50,75,58,svg/kidsPlayful_p-2.svg,png/kidsPlayful_p-2.png
kidsPlayful,Kids Playful,p-3,cute,scatter,offset,n/a,wildCluster,candy-shop,5926,85,89.1,80,,,,83,48,81,50,50,75,57,svg/kidsPlayful_p-3.svg,png/kidsPlayful_p-3.png
kidsPlayful,Kids Playful,p-4,cute,scatter,offset,n/a,wildCluster,vibrant-pop,5832,86,89.5,81,,,,88,48,83,50,50,75,58,svg/kidsPlayful_p-4.svg,png/kidsPlayful_p-4.png
kidsPlayful,Kids Playful,p-5,cute,scatter,offset,n/a,wildCluster,vibrant-pop,5886,85,87.75,81,,,,84,49,80,50,50,75,58,svg/kidsPlayful_p-5.svg,png/kidsPlayful_p-5.png
retroOrganic,Retro Organic,p-1,organic,scatter,sCurve,n/a,diagonal,retro-sunset,3219,87,96.85,78,,,,94,49,94,50,65,60,57,svg/retroOrganic_p-1.svg,png/retroOrganic_p-1.png
retroOrganic,Retro Organic,p-2,organic,heroFlow,wave,n/a,diagonal,retro-sunset,814,90,96.15,83,,,,94,50,94,50,65,60,58,svg/retroOrganic_p-2.svg,png/retroOrganic_p-2.png
retroOrganic,Retro Organic,p-3,retro,scatter,wave,n/a,diagonal,autumn-harvest,4177,88,86.35,81,,,,84,49,88,50,50,75,58,svg/retroOrganic_p-3.svg,png/retroOrganic_p-3.png
retroOrganic,Retro Organic,p-4,retro,heroFlow,diagonal,n/a,diagonal,retro-sunset,1185,89,81.8,83,,,,77,49,84,50,50,75,57,svg/retroOrganic_p-4.svg,png/retroOrganic_p-4.png
retroOrganic,Retro Organic,p-5,retro,heroFlow,diagonal,n/a,diagonal,retro-sunset,1392,90,100,83,,,,96,52,95,50,50,75,60,svg/retroOrganic_p-5.svg,png/retroOrganic_p-5.png
organicAbstract,Organic Abstract,p-1,organic,airy,wave,n/a,wildCluster,ocean-breeze,1564,89,96.2,81,,,,99,51,93,50,65,60,53,svg/organicAbstract_p-1.svg,png/organicAbstract_p-1.png
organicAbstract,Organic Abstract,p-2,organic,airy,radial,n/a,wildCluster,lavender-fields,1349,88,95.6,80,,,,98,49,93,50,65,60,51,svg/organicAbstract_p-2.svg,png/organicAbstract_p-2.png
organicAbstract,Organic Abstract,p-3,organic,scatter,offset,n/a,wildCluster,ocean-breeze,1353,88,100,82,,,,96,49,90,50,65,60,58,svg/organicAbstract_p-3.svg,png/organicAbstract_p-3.png
organicAbstract,Organic Abstract,p-4,organic,scatter,wave,n/a,wildCluster,ocean-breeze,1459,88,100,81,,,,98,45,93,50,65,60,55,svg/organicAbstract_p-4.svg,png/organicAbstract_p-4.png
organicAbstract,Organic Abstract,p-5,organic,scatter,wave,n/a,wildCluster,ocean-breeze,1667,88,100,81,,,,99,49,93,50,65,60,58,svg/organicAbstract_p-5.svg,png/organicAbstract_p-5.png
bohoFloral,Boho Floral,p-1,botanical,toss,offset,wildflower,sprayBouquet,desert-botanical,5875,88,90.2,83,50,65,38,89,51,84,65,65,60,60,svg/bohoFloral_p-1.svg,png/bohoFloral_p-1.png
bohoFloral,Boho Floral,p-2,boho,scatter,diagonal,lavender,sprayBouquet,autumn-harvest,5530,82,89.85,77,,,,86,48,82,65,50,60,57,svg/bohoFloral_p-2.svg,png/bohoFloral_p-2.png
bohoFloral,Boho Floral,p-3,botanical,toss,diagonal,daisy,sprayBouquet,autumn-harvest,5807,87,91.25,82,47,74,22,87,52,82,65,65,60,59,svg/bohoFloral_p-3.svg,png/bohoFloral_p-3.png
bohoFloral,Boho Floral,p-4,botanical,toss,diagonal,cosmos,sprayBouquet,terracotta,5983,87,90.55,82,47,56,24,89,51,84,65,65,60,60,svg/bohoFloral_p-4.svg,png/bohoFloral_p-4.png
bohoFloral,Boho Floral,p-5,boho,scatter,zFlow,wildflower,sprayBouquet,terracotta,5403,82,90.2,77,,,,89,46,84,65,50,60,56,svg/bohoFloral_p-5.svg,png/bohoFloral_p-5.png
softWatercolorInspired,Soft Watercolor Inspired (Vector only),p-1,botanical,scatter,wave,hydrangea,organicScatter,soft-cottage,6544,88,88.45,82,67,64,23,85,48,84,65,65,60,58,svg/softWatercolorInspired_p-1.svg,png/softWatercolorInspired_p-1.png
softWatercolorInspired,Soft Watercolor Inspired (Vector only),p-2,botanical,scatter,centerFocus,cosmos,organicScatter,pastel-dream,5823,87,75.8,82,50,68,27,62,48,82,65,65,60,57,svg/softWatercolorInspired_p-2.svg,png/softWatercolorInspired_p-2.png
softWatercolorInspired,Soft Watercolor Inspired (Vector only),p-3,organic,airy,wave,anemone,organicScatter,lavender-fields,1685,88,94.05000000000001,78,,,,95,51,93,50,65,60,49,svg/softWatercolorInspired_p-3.svg,png/softWatercolorInspired_p-3.png
softWatercolorInspired,Soft Watercolor Inspired (Vector only),p-4,botanical,scatter,offset,anemone,organicScatter,pastel-dream,4442,89,76.14999999999999,82,49,62,24,64,48,86,65,65,60,58,svg/softWatercolorInspired_p-4.svg,png/softWatercolorInspired_p-4.png
softWatercolorInspired,Soft Watercolor Inspired (Vector only),p-5,organic,scatter,offset,hydrangea,organicScatter,pastel-dream,1600,89,83.5,81,,,,72,47,91,50,65,60,57,svg/softWatercolorInspired_p-5.svg,png/softWatercolorInspired_p-5.png
